DbaseID,Region,City,Source,TreeID,Park/Street,SpCode,ScientificName,CommonName,TreeType,Age,DBH (cm),TreeHt (m),AvgCdia (m),Leaf (m2),Lat,Long
14,InlVal,"Modesto, CA",Motown2.xls: Completed Data,14,Nursery,LIST,Liquidambar styraciflua,Sweetgum,BDL,0,2.5,2.2,1,3.3,37.639492,-121.015099
15,InlVal,"Modesto, CA",Motown2.xls: Completed Data,15,Nursery,MAGR,Magnolia grandiflora,Southern magnolia,BEM,0,2.5,1.8,0.9,3.1,37.639492,-121.015099
16,InlVal,"Modesto, CA",Motown2.xls: Completed Data,16,Nursery,PICH,Pistacia chinensis,Chinese pistache,BDM,0,2.5,1.8,1.3,1.2,37.639492,-121.015099
17,InlVal,"Modesto, CA",Motown2.xls: Completed Data,17,Nursery,PITH,Pinus thunbergiana,Japanese black pine,CEL,0,2.5,1.5,1.8,3.1,37.639492,-121.015099
18,InlVal,"Modesto, CA",Motown2.xls: Completed Data,18,Nursery,PLAC,Platanus x acerifolia,London planetree,BDL,0,2.5,2.1,1.3,5.2,37.639492,-121.015099
19,InlVal,"Modesto, CA",Motown2.xls: Completed Data,19,Nursery,PRCE,Prunus cerasifera,Cherry plum,BDS,0,2.5,1.8,1.5,2.1,37.639492,-121.015099
20,InlVal,"Modesto, CA",Motown2.xls: Completed Data,20,Nursery,PYCA_B,Pyrus calleryana 'Bradford',Callery pear 'Bradford',BDM,0,2.5,2,1.6,2.8,37.639492,-121.015099
21,InlVal,"Modesto, CA",Motown2.xls: Completed Data,21,Nursery,QUIL2,Quercus ilex,Holly oak,BEL,0,2.5,2,1,1.9,37.639492,-121.015099
22,InlVal,"Modesto, CA",Motown2.xls: Completed Data,22,Nursery,ZESE,Zelkova serrata,Japanese zelkova,BDM,0,2.5,2,1.2,1.8,37.639492,-121.015099
23,InlVal,"Modesto, CA",Motown2.xls: Completed Data,75,-1,PYCA_B,Pyrus calleryana 'Bradford',Callery pear 'Bradford',BDM,14,28.6,10,9.3,241,37.639492,-121.015099
24,InlVal,"Modesto, CA",Motown2.xls: Completed Data,369,-1,PYCA_B,Pyrus calleryana 'Bradford',Callery pear 'Bradford',BDM,8,12.6,6.5,4.9,58.9,37.639492,-121.015099
25,InlVal,"Modesto, CA",Motown2.xls: Completed Data,406,-1,PITH,Pinus thunbergiana,Japanese black pine,CEL,23,39.1,9,9.9,147.7,37.639492,-121.015099
26,InlVal,"Modesto, CA",Motown2.xls: Completed Data,540,-1,LIST,Liquidambar styraciflua,sweetgum,BDL,18,27.4,13,7,183,37.639492,-121.015099
27,InlVal,"Modesto, CA",Motown2.xls: Completed Data,589,-1,FRHO,Fraxinus holotricha,Moraine ash,BDM,22,31.4,8,7.7,107.4,37.639492,-121.015099
28,InlVal,"Modesto, CA",Motown2.xls: Completed Data,658,-1,BEPE,Betula pendula,European white birch,BDM,22,26.1,9.5,5.4,120.9,37.639492,-121.015099
29,InlVal,"Modesto, CA",Motown2.xls: Completed Data,719,-1,QUIL2,Quercus ilex,holly oak,BEL,23,33.1,9.5,8.9,222.9,37.639492,-121.015099
30,InlVal,"Modesto, CA",Motown2.xls: Completed Data,1091,-1,PYCA_B,Pyrus calleryana 'Bradford',Callery pear 'Bradford',BDM,9,10.7,6.2,4.6,30.9,37.639492,-121.015099
31,InlVal,"Modesto, CA",Motown2.xls: Completed Data,1213,-1,BEPE,Betula pendula,European white birch,BDM,33,23.5,14,6.8,229.3,37.639492,-121.015099
32,InlVal,"Modesto, CA",Motown2.xls: Completed Data,1251,-1,QUIL2,Quercus ilex,holly oak,BEL,23,32.2,9.5,8.3,183.6,37.639492,-121.015099
33,InlVal,"Modesto, CA",Motown2.xls: Completed Data,1432,-1,CICA,Cinnamomum camphora,camphor tree,BEM,14,24.4,7,6.3,44.1,37.639492,-121.015099
34,InlVal,"Modesto, CA",Motown2.xls: Completed Data,1883,-1,QUIL2,Quercus ilex,holly oak,BEL,30,60.2,19,14.3,628.8,37.639492,-121.015099
35,InlVal,"Modesto, CA",Motown2.xls: Completed Data,1938,-1,BEPE,Betula pendula,European white birch,BDM,18,14.9,12,3.7,68.3,37.639492,-121.015099
36,InlVal,"Modesto, CA",Motown2.xls: Completed Data,2015,-1,LIST,Liquidambar styraciflua,sweetgum,BDL,34,33.6,13,8,184.7,37.639492,-121.015099
37,InlVal,"Modesto, CA",Motown2.xls: Completed Data,2037,-1,PICH,Pistacia chinensis,Chinese pistache,BDM,34,44.5,16,13.4,420.7,37.639492,-121.015099
38,InlVal,"Modesto, CA",Motown2.xls: Completed Data,2259,-1,PICH,Pistacia chinensis,Chinese pistache,BDM,34,26.5,10,8.2,177.6,37.639492,-121.015099
39,InlVal,"Modesto, CA",Motown2.xls: Completed Data,2526,-1,PICH,Pistacia chinensis,Chinese pistache,BDM,34,26.1,11,9.2,200.4,37.639492,-121.015099
40,InlVal,"Modesto, CA",Motown2.xls: Completed Data,2642,-1,KOPA,Koelreuteria paniculata,goldenrain tree,BDM,5,8.8,4.3,3.4,17,37.639492,-121.015099
41,InlVal,"Modesto, CA",Motown2.xls: Completed Data,2644,-1,KOPA,Koelreuteria paniculata,goldenrain tree,BDM,5,5.8,4,3,14.5,37.639492,-121.015099
42,InlVal,"Modesto, CA",Motown2.xls: Completed Data,2884,-1,PICH,Pistacia chinensis,Chinese pistache,BDM,34,23.4,11,9.2,148.6,37.639492,-121.015099
43,InlVal,"Modesto, CA",Motown2.xls: Completed Data,2961,-1,ACSA1,Acer saccharinum,silver maple,BDL,9,40.1,12,11.4,396,37.639492,-121.015099
44,InlVal,"Modesto, CA",Motown2.xls: Not Used,3001,-1,PRCE,Prunus cerasifera,cherry plum,BDS,5,10,2.8,3,11.8,37.639492,-121.015099
45,InlVal,"Modesto, CA",Motown2.xls: Completed Data,3184,-1,PICH,Pistacia chinensis,Chinese pistache,BDM,17,26.6,10.5,11.3,152.6,37.639492,-121.015099
46,InlVal,"Modesto, CA",Motown2.xls: Completed Data,3375,-1,QUIL2,Quercus ilex,holly oak,BEL,26,45.5,12.5,12.3,377.9,37.639492,-121.015099
47,InlVal,"Modesto, CA",Motown2.xls: Completed Data,3502,-1,KOPA,Koelreuteria paniculata,goldenrain tree,BDM,7,7.6,4.1,2.8,14.9,37.639492,-121.015099
48,InlVal,"Modesto, CA",Motown2.xls: Completed Data,3523,-1,KOPA,Koelreuteria paniculata,goldenrain tree,BDM,5,5.9,4.4,2.8,6.7,37.639492,-121.015099
49,InlVal,"Modesto, CA",Motown2.xls: Completed Data,3775,-1,FRVE_G,Fraxinus velutina 'Modesto',Modesto ash,BDL,26,39.3,10,9.3,283,37.639492,-121.015099
50,InlVal,"Modesto, CA",Motown2.xls: Completed Data,3777,-1,FRVE_G,Fraxinus velutina 'Modesto',Modesto ash,BDL,26,34.4,9.5,8.7,199.1,37.639492,-121.015099
51,InlVal,"Modesto, CA",Motown2.xls: Not Used,3844,-1,PRCE,Prunus cerasifera,cherry plum,BDS,24,19.4,5.1,4.3,38.5,37.639492,-121.015099
52,InlVal,"Modesto, CA",Motown2.xls: Completed Data,4067,-1,LIST,Liquidambar styraciflua,sweetgum,BDL,39,29.2,7.5,6.1,97.4,37.639492,-121.015099
53,InlVal,"Modesto, CA",Motown2.xls: Completed Data,4200,-1,FRVE_G,Fraxinus velutina 'Modesto',Modesto ash,BDL,28,54.3,11,9.5,204.7,37.639492,-121.015099
54,InlVal,"Modesto, CA",Motown2.xls: Not Used,4215,-1,PRCE,Prunus cerasifera,cherry plum,BDS,19,20.9,6.5,7.3,81.4,37.639492,-121.015099
55,InlVal,"Modesto, CA",Motown2.xls: Completed Data,4556,-1,KOPA,Koelreuteria paniculata,goldenrain tree,BDM,3,5.1,3.7,2.5,18.6,37.639492,-121.015099
56,InlVal,"Modesto, CA",Motown2.xls: Completed Data,4614,-1,CICA,Cinnamomum camphora,camphor tree,BEM,6,7.4,4.5,2.8,15.3,37.639492,-121.015099
57,InlVal,"Modesto, CA",Motown2.xls: Completed Data,4741,-1,FRVE_G,Fraxinus velutina 'Modesto',Modesto ash,BDL,28,49.7,12,10,302,37.639492,-121.015099
58,InlVal,"Modesto, CA",Motown2.xls: Completed Data,4864,-1,FRHO,Fraxinus holotricha,Moraine ash,BDM,19,36.5,15,11.6,384.2,37.639492,-121.015099
59,InlVal,"Modesto, CA",Motown2.xls: Completed Data,5016,-1,ZESE,Zelkova serrata,Japanese zelkova,BDM,18,36.6,9,12.1,277.7,37.639492,-121.015099
60,InlVal,"Modesto, CA",Motown2.xls: Completed Data,5217,-1,PLAC,Platanus x acerifolia,London planetree,BDL,5,18.7,11.5,5.3,86.7,37.639492,-121.015099
61,InlVal,"Modesto, CA",Motown2.xls: Completed Data,5355,-1,FREX_H,Fraxinus excelsior 'Hessei',Hesse ash,BDL,6,5.5,4.5,1.7,6.3,37.639492,-121.015099
62,InlVal,"Modesto, CA",Motown2.xls: Completed Data,5562,-1,PLAC,Platanus x acerifolia,London planetree,BDL,6,16.4,8,4.5,39.8,37.639492,-121.015099
63,InlVal,"Modesto, CA",Motown2.xls: Completed Data,6049,-1,BEPE,Betula pendula,European white birch,BDM,23,9.9,5.5,4.8,33.1,37.639492,-121.015099
64,InlVal,"Modesto, CA",Motown2.xls: Completed Data,6156,-1,PICH,Pistacia chinensis,Chinese pistache,BDM,30,20.2,8,8.5,101.8,37.639492,-121.015099
65,InlVal,"Modesto, CA",Motown2.xls: Completed Data,6525,-1,PITH,Pinus thunbergiana,Japanese black pine,CEL,34,37,14,7.5,209.5,37.639492,-121.015099
66,InlVal,"Modesto, CA",Motown2.xls: Completed Data,6630,-1,PYCA_B,Pyrus calleryana 'Bradford',Callery pear 'Bradford',BDM,38,57.8,15,14.2,359.1,37.639492,-121.015099
67,InlVal,"Modesto, CA",Motown2.xls: Completed Data,6713,-1,LAIN,Lagerstroemia indica,common crapemyrtle,BDS,24,18.8,5.5,4.4,38.7,37.639492,-121.015099
68,InlVal,"Modesto, CA",Motown2.xls: Not Used,6818,-1,PRCE,Prunus cerasifera,cherry plum,BDS,29,18.4,4.5,5.8,18.9,37.639492,-121.015099
69,InlVal,"Modesto, CA",Motown2.xls: Completed Data,7018,-1,FRAN_R,Fraxinus angustifolia 'Raywood',Raywood ash,BDM,24,31.6,9,7,68.8,37.639492,-121.015099
70,InlVal,"Modesto, CA",Motown2.xls: Completed Data,7026,-1,FRAN_R,Fraxinus angustifolia 'Raywood',Raywood ash,BDM,24,43,10,9.1,173.6,37.639492,-121.015099
71,InlVal,"Modesto, CA",Motown2.xls: Completed Data,7079,-1,LAIN,Lagerstroemia indica,common crapemyrtle,BDS,29,17.9,6.5,4.3,29.3,37.639492,-121.015099
72,InlVal,"Modesto, CA",Motown2.xls: Completed Data,7321,-1,PITH,Pinus thunbergiana,Japanese black pine,CEL,34,43.7,13.5,9.9,203.8,37.639492,-121.015099
73,InlVal,"Modesto, CA",Motown2.xls: Completed Data,7504,-1,CICA,Cinnamomum camphora,camphor tree,BEM,11,30.9,8.5,8.1,163.6,37.639492,-121.015099
74,InlVal,"Modesto, CA",Motown2.xls: Completed Data,7748,-1,LAIN,Lagerstroemia indica,common crapemyrtle,BDS,29,8.1,4.2,4.2,48.8,37.639492,-121.015099
75,InlVal,"Modesto, CA",Motown2.xls: Completed Data,7835,-1,BEPE,Betula pendula,European white birch,BDM,24,23,11.5,6,104.5,37.639492,-121.015099
76,InlVal,"Modesto, CA",Motown2.xls: Completed Data,7838,-1,PITH,Pinus thunbergiana,Japanese black pine,CEL,25,32.1,8.5,6.9,73.7,37.639492,-121.015099
77,InlVal,"Modesto, CA",Motown2.xls: Completed Data,8311,-1,MAGR,Magnolia grandiflora,southern magnolia,BEM,27,35.5,11,6.9,135.7,37.639492,-121.015099
78,InlVal,"Modesto, CA",Motown2.xls: Completed Data,8370,-1,GIBI,Ginkgo biloba,ginkgo,BDM,29,34.1,11,12.1,216.5,37.639492,-121.015099
79,InlVal,"Modesto, CA",Motown2.xls: Completed Data,8623,-1,FRAN_R,Fraxinus angustifolia 'Raywood',Raywood ash,BDM,29,52.3,14,11.2,281.8,37.639492,-121.015099
80,InlVal,"Modesto, CA",Motown2.xls: Completed Data,8639,-1,FRAN_R,Fraxinus angustifolia 'Raywood',Raywood ash,BDM,29,53.5,14.5,13.1,314.2,37.639492,-121.015099
81,InlVal,"Modesto, CA",Motown2.xls: Completed Data,8688,-1,FRAN_R,Fraxinus angustifolia 'Raywood',Raywood ash,BDM,29,33.4,12,9,230.7,37.639492,-121.015099
82,InlVal,"Modesto, CA",Motown2.xls: Completed Data,8794,-1,PICH,Pistacia chinensis,Chinese pistache,BDM,30,24.9,8.5,8.7,181.8,37.639492,-121.015099
83,InlVal,"Modesto, CA",Motown2.xls: Completed Data,8900,-1,FRAN_R,Fraxinus angustifolia 'Raywood',Raywood ash,BDM,29,43.2,18,13.2,479.8,37.639492,-121.015099
84,InlVal,"Modesto, CA",Motown2.xls: Completed Data,8908,-1,FRAN_R,Fraxinus angustifolia 'Raywood',Raywood ash,BDM,29,40.5,10.5,8.7,172.2,37.639492,-121.015099
85,InlVal,"Modesto, CA",Motown2.xls: Completed Data,8918,-1,FRAN_R,Fraxinus angustifolia 'Raywood',Raywood ash,BDM,29,66.2,16,11.2,479.9,37.639492,-121.015099
86,InlVal,"Modesto, CA",Motown2.xls: Completed Data,8922,-1,FRAN_R,Fraxinus angustifolia 'Raywood',Raywood ash,BDM,29,50.8,14.5,14.3,380.3,37.639492,-121.015099
87,InlVal,"Modesto, CA",Motown2.xls: Completed Data,8930,-1,FRAN_R,Fraxinus angustifolia 'Raywood',Raywood ash,BDM,29,62.7,15,11.9,445,37.639492,-121.015099
88,InlVal,"Modesto, CA",Motown2.xls: Completed Data,8931,-1,FREX_H,Fraxinus excelsior 'Hessei',Hesse ash,BDL,26,25,9,8.9,153.6,37.639492,-121.015099
89,InlVal,"Modesto, CA",Motown2.xls: Completed Data,9041,-1,FRAN_R,Fraxinus angustifolia 'Raywood',Raywood ash,BDM,29,37.7,16,9.7,188.8,37.639492,-121.015099
90,InlVal,"Modesto, CA",Motown2.xls: Completed Data,9236,-1,PICH,Pistacia chinensis,Chinese pistache,BDM,30,48.3,16,15.8,666.5,37.639492,-121.015099
91,InlVal,"Modesto, CA",Motown2.xls: Completed Data,9351,-1,BEPE,Betula pendula,European white birch,BDM,13,10.8,5.6,4.6,-1,37.639492,-121.015099
92,InlVal,"Modesto, CA",Motown2.xls: Completed Data,9445,-1,GLTR,Gleditsia triacanthos,honeylocust,BDL,36,38.2,9,9.3,137.6,37.639492,-121.015099
93,InlVal,"Modesto, CA",Motown2.xls: Completed Data,9643,-1,FRAN_R,Fraxinus angustifolia 'Raywood',Raywood ash,BDM,29,39.3,11,8.5,228.5,37.639492,-121.015099
94,InlVal,"Modesto, CA",Motown2.xls: Completed Data,9710,-1,QUIL2,Quercus ilex,holly oak,BEL,27,47.4,13.5,10.3,285.9,37.639492,-121.015099
95,InlVal,"Modesto, CA",Motown2.xls: Completed Data,9720,-1,FRHO,Fraxinus holotricha,Moraine ash,BDM,32,41.2,13,12.3,440.1,37.639492,-121.015099
96,InlVal,"Modesto, CA",Motown2.xls: Completed Data,9733,-1,ACSA1,Acer saccharinum,silver maple,BDL,36,73.5,21,17.1,475.6,37.639492,-121.015099
97,InlVal,"Modesto, CA",Motown2.xls: Completed Data,10122,-1,MAGR,Magnolia grandiflora,southern magnolia,BEM,37,18,7.5,4.8,26,37.639492,-121.015099
98,InlVal,"Modesto, CA",Motown2.xls: Completed Data,10141,-1,LIST,Liquidambar styraciflua,sweetgum,BDL,37,41,11,9.7,195,37.639492,-121.015099
99,InlVal,"Modesto, CA",Motown2.xls: Completed Data,10381,-1,CICA,Cinnamomum camphora,camphor tree,BEM,30,30.1,9.5,7.8,174.6,37.639492,-121.015099
100,InlVal,"Modesto, CA",Motown2.xls: Completed Data,10470,-1,FRHO,Fraxinus holotricha,Moraine ash,BDM,33,67.5,21.5,13.6,741.8,37.639492,-121.015099
101,InlVal,"Modesto, CA",Motown2.xls: Completed Data,10559,-1,LAIN,Lagerstroemia indica,common crapemyrtle,BDS,29,19.8,7.5,6.6,79.7,37.639492,-121.015099
102,InlVal,"Modesto, CA",Motown2.xls: Completed Data,10677,-1,FRHO,Fraxinus holotricha,Moraine ash,BDM,33,62.7,19.5,11.1,577.3,37.639492,-121.015099
103,InlVal,"Modesto, CA",Motown2.xls: Completed Data,10686,-1,QUIL2,Quercus ilex,holly oak,BEL,34,58.2,13.5,11.2,334.1,37.639492,-121.015099
104,InlVal,"Modesto, CA",Motown2.xls: Completed Data,10716,-1,CESI4,Celtis sinensis,Chinese hackberry,BDL,37,46.5,12,12.8,180.4,37.639492,-121.015099
105,InlVal,"Modesto, CA",Motown2.xls: Completed Data,10727,-1,CESI4,Celtis sinensis,Chinese hackberry,BDL,37,40.1,11,10.4,256.2,37.639492,-121.015099
106,InlVal,"Modesto, CA",Motown2.xls: Completed Data,10832,-1,PICH,Pistacia chinensis,Chinese pistache,BDM,30,47,13.5,11.3,366.8,37.639492,-121.015099
107,InlVal,"Modesto, CA",Motown2.xls: Completed Data,10847,-1,GLTR,Gleditsia triacanthos,honeylocust,BDL,34,51.5,6.5,10.6,92.8,37.639492,-121.015099
108,InlVal,"Modesto, CA",Motown2.xls: Completed Data,10985,-1,PYCA_B,Pyrus calleryana 'Bradford',Callery pear 'Bradford',BDM,8,11.1,6.5,2.6,22.4,37.639492,-121.015099
109,InlVal,"Modesto, CA",Motown2.xls: Completed Data,10993,-1,CICA,Cinnamomum camphora,camphor tree,BEM,37,32,9,8.7,230.1,37.639492,-121.015099
110,InlVal,"Modesto, CA",Motown2.xls: Completed Data,11004,-1,CESI4,Celtis sinensis,Chinese hackberry,BDL,37,64,21.5,16.4,-1,37.639492,-121.015099
111,InlVal,"Modesto, CA",Motown2.xls: Completed Data,11034,-1,PYCA_B,Pyrus calleryana 'Bradford',Callery pear 'Bradford',BDM,33,41,11,8.5,125.4,37.639492,-121.015099
112,InlVal,"Modesto, CA",Motown2.xls: Completed Data,11051,-1,ZESE,Zelkova serrata,Japanese zelkova,BDM,4,8.5,5,4.7,30.1,37.639492,-121.015099
113,InlVal,"Modesto, CA",Motown2.xls: Completed Data,11055,-1,CESI4,Celtis sinensis,Chinese hackberry,BDL,37,77,7.8,15.9,1280.7,37.639492,-121.015099
114,InlVal,"Modesto, CA",Motown2.xls: Completed Data,11063,-1,GLTR,Gleditsia triacanthos,honeylocust,BDL,34,49.5,11,13.7,422.1,37.639492,-121.015099
115,InlVal,"Modesto, CA",Motown2.xls: Completed Data,11336,-1,CESI4,Celtis sinensis,Chinese hackberry,BDL,37,71,12.5,17.1,744.1,37.639492,-121.015099
116,InlVal,"Modesto, CA",Motown2.xls: Completed Data,11354,-1,CESI4,Celtis sinensis,Chinese hackberry,BDL,37,37.3,15,11.1,473.2,37.639492,-121.015099
117,InlVal,"Modesto, CA",Motown2.xls: Completed Data,11597,-1,LIST,Liquidambar styraciflua,sweetgum,BDL,37,45,20,10.8,406.7,37.639492,-121.015099
118,InlVal,"Modesto, CA",Motown2.xls: Completed Data,11837,-1,FRHO,Fraxinus holotricha,Moraine ash,BDM,33,73,11.5,10.3,329.2,37.639492,-121.015099
119,InlVal,"Modesto, CA",Motown2.xls: Completed Data,11955,-1,LIST,Liquidambar styraciflua,sweetgum,BDL,37,58.8,22,12.5,680.8,37.639492,-121.015099
120,InlVal,"Modesto, CA",Motown2.xls: Completed Data,12060,-1,PICH,Pistacia chinensis,Chinese pistache,BDM,30,48,8,7.6,109,37.639492,-121.015099
121,InlVal,"Modesto, CA",Motown2.xls: Completed Data,12164,-1,PYCA_B,Pyrus calleryana 'Bradford',Callery pear 'Bradford',BDM,36,51.7,12,10.2,242.2,37.639492,-121.015099
122,InlVal,"Modesto, CA",Motown2.xls: Completed Data,12173,-1,PICH,Pistacia chinensis,Chinese pistache,BDM,30,31.5,7.5,11.5,215.2,37.639492,-121.015099
123,InlVal,"Modesto, CA",Motown2.xls: Completed Data,12257,-1,CESI4,Celtis sinensis,Chinese hackberry,BDL,37,68.5,16.5,18.3,1226.8,37.639492,-121.015099
124,InlVal,"Modesto, CA",Motown2.xls: Completed Data,12306,-1,CESI4,Celtis sinensis,Chinese hackberry,BDL,9,20,9.4,7.1,120.3,37.639492,-121.015099
125,InlVal,"Modesto, CA",Motown2.xls: Completed Data,12407,-1,CESI4,Celtis sinensis,Chinese hackberry,BDL,16,33,10.5,8,160.4,37.639492,-121.015099
126,InlVal,"Modesto, CA",Motown2.xls: Completed Data,12549,-1,CESI4,Celtis sinensis,Chinese hackberry,BDL,37,44.9,14,11.2,475.4,37.639492,-121.015099
127,InlVal,"Modesto, CA",Motown2.xls: Completed Data,12649,-1,CESI4,Celtis sinensis,Chinese hackberry,BDL,37,53,15,15.5,555.8,37.639492,-121.015099
128,InlVal,"Modesto, CA",Motown2.xls: Completed Data,12681,-1,PICH,Pistacia chinensis,Chinese pistache,BDM,30,35.5,6.5,9.5,158.4,37.639492,-121.015099
129,InlVal,"Modesto, CA",Motown2.xls: Completed Data,12756,-1,PICH,Pistacia chinensis,Chinese pistache,BDM,30,38,13.5,12.5,297,37.639492,-121.015099
130,InlVal,"Modesto, CA",Motown2.xls: Completed Data,12843,-1,PYCA_B,Pyrus calleryana 'Bradford',Callery pear 'Bradford',BDM,33,34.5,10.5,8.7,257.4,37.639492,-121.015099
131,InlVal,"Modesto, CA",Motown2.xls: Completed Data,12875,-1,CESI4,Celtis sinensis,Chinese hackberry,BDL,37,65.8,21.5,16.6,-1,37.639492,-121.015099
132,InlVal,"Modesto, CA",Motown2.xls: Completed Data,12881,-1,LIST,Liquidambar styraciflua,sweetgum,BDL,37,73.4,22,13.7,965.5,37.639492,-121.015099
133,InlVal,"Modesto, CA",Motown2.xls: Completed Data,13172,-1,BEPE,Betula pendula,European white birch,BDM,18,31.3,14.5,6.8,240.4,37.639492,-121.015099
134,InlVal,"Modesto, CA",Motown2.xls: Completed Data,13262,-1,LIST,Liquidambar styraciflua,sweetgum,BDL,37,49.8,17,8.9,417,37.639492,-121.015099
135,InlVal,"Modesto, CA",Motown2.xls: Completed Data,13443,-1,LIST,Liquidambar styraciflua,sweetgum,BDL,37,56,18,12,451.6,37.639492,-121.015099
136,InlVal,"Modesto, CA",Motown2.xls: Completed Data,13563,-1,LIST,Liquidambar styraciflua,sweetgum,BDL,37,39,8.5,4.7,101.7,37.639492,-121.015099
137,InlVal,"Modesto, CA",Motown2.xls: Completed Data,13758,-1,BEPE,Betula pendula,European white birch,BDM,36,33.5,10.5,7,202.8,37.639492,-121.015099
138,InlVal,"Modesto, CA",Motown2.xls: Completed Data,13759,-1,BEPE,Betula pendula,European white birch,BDM,36,37,11.5,6.8,127.4,37.639492,-121.015099
139,InlVal,"Modesto, CA",Motown2.xls: Completed Data,13852,-1,LIST,Liquidambar styraciflua,sweetgum,BDL,34,43,15.5,7,153.6,37.639492,-121.015099
140,InlVal,"Modesto, CA",Motown2.xls: Completed Data,14296,-1,CICA,Cinnamomum camphora,camphor tree,BEM,34,48,12.5,10.8,250.2,37.639492,-121.015099
141,InlVal,"Modesto, CA",Motown2.xls: Completed Data,14347,-1,FRVE_G,Fraxinus velutina 'Modesto',Modesto ash,BDL,40,55.4,14,13.5,456.3,37.639492,-121.015099
142,InlVal,"Modesto, CA",Motown2.xls: Not Used,14430,-1,PRCE,Prunus cerasifera,cherry plum,BDS,33,19.2,5.1,3.2,53,37.639492,-121.015099
143,InlVal,"Modesto, CA",Motown2.xls: Completed Data,14482,-1,LAIN,Lagerstroemia indica,common crapemyrtle,BDS,36,16,6,5.2,57.5,37.639492,-121.015099
144,InlVal,"Modesto, CA",Motown2.xls: Completed Data,14699,-1,FRHO,Fraxinus holotricha,Moraine ash,BDM,33,63,9,13,510.4,37.639492,-121.015099
145,InlVal,"Modesto, CA",Motown2.xls: Completed Data,14732,-1,GLTR,Gleditsia triacanthos,honeylocust,BDL,36,46,8.5,9.1,120.8,37.639492,-121.015099
146,InlVal,"Modesto, CA",Motown2.xls: Completed Data,14754,-1,FRHO,Fraxinus holotricha,Moraine ash,BDM,33,71,14,14.4,600.2,37.639492,-121.015099
147,InlVal,"Modesto, CA",Motown2.xls: Completed Data,14840,-1,PYCA_B,Pyrus calleryana 'Bradford',Callery pear 'Bradford',BDM,33,20.5,9,6,89.1,37.639492,-121.015099
148,InlVal,"Modesto, CA",Motown2.xls: Completed Data,14996,-1,PITH,Pinus thunbergiana,Japanese black pine,CEL,37,41.5,10.5,11,55.4,37.639492,-121.015099
149,InlVal,"Modesto, CA",Motown2.xls: Completed Data,15056,-1,FRHO,Fraxinus holotricha,Moraine ash,BDM,18,37.5,11.5,10.8,248.4,37.639492,-121.015099
150,InlVal,"Modesto, CA",Motown2.xls: Completed Data,15148,-1,FRAN_R,Fraxinus angustifolia 'Raywood',Raywood ash,BDM,18,27,12.5,7.9,146,37.639492,-121.015099
151,InlVal,"Modesto, CA",Motown2.xls: Completed Data,15339,-1,GLTR,Gleditsia triacanthos,honeylocust,BDL,36,50.5,8.5,15.8,602.4,37.639492,-121.015099
